PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,20Yavg
ALLSKY_SFC_SW_DNI,2001,29.75,-3.25,7.7,7.8,7.9,7.16,7.94,5.86,5.33,5.75,6.04,5.05,5.39,5.47,6.44,6.688
ALLSKY_SFC_SW_DNI,2001,29.75,-3.75,7.7,7.8,7.9,7.16,7.94,5.86,5.33,5.75,6.04,5.05,5.39,5.47,6.44,6.688
ALLSKY_SFC_SW_DNI,2001,29.75,-4.25,8.26,8.34,8.4,7.66,8.49,6.17,5.56,5.91,6.44,5.32,5.71,5.76,6.83,6.7245
ALLSKY_SFC_SW_DNI,2001,29.75,-4.75,8.26,8.34,8.4,7.66,8.49,6.17,5.56,5.91,6.44,5.32,5.71,5.76,6.83,6.7245
ALLSKY_SFC_SW_DNI,2001,29.75,-5.25,8.06,7.78,7.97,7.58,8.66,6.31,5.52,5.91,6.67,5.34,5.58,5.63,6.74,6.7935
ALLSKY_SFC_SW_DNI,2001,29.75,-5.75,8.06,7.78,7.97,7.58,8.66,6.31,5.52,5.91,6.67,5.34,5.58,5.63,6.74,6.7935
ALLSKY_SFC_SW_DNI,2001,29.75,-6.25,8.18,7.8,8.19,7.6,8.8,6.3,5.35,5.66,6.8,5.4,5.47,5.55,6.75,6.7585
ALLSKY_SFC_SW_DNI,2001,29.75,-6.75,8.18,7.8,8.19,7.6,8.8,6.3,5.35,5.66,6.8,5.4,5.47,5.55,6.75,6.7585
ALLSKY_SFC_SW_DNI,2001,29.75,-7.25,8.2,7.51,8.02,8.06,9.11,6.74,5.85,6.2,7.31,5.51,5.4,5.09,6.91,6.9575
ALLSKY_SFC_SW_DNI,2001,29.75,-7.75,8.2,7.51,8.02,8.06,9.11,6.74,5.85,6.2,7.31,5.51,5.4,5.09,6.91,6.9575
ALLSKY_SFC_SW_DNI,2001,30.25,-3.25,8.24,8.2,8.6,8.53,8.74,6.76,5.76,5.93,6.28,5.35,5.33,5.44,6.92,6.934
ALLSKY_SFC_SW_DNI,2001,30.25,-3.75,8.24,8.2,8.6,8.53,8.74,6.76,5.76,5.93,6.28,5.35,5.33,5.44,6.92,6.934
ALLSKY_SFC_SW_DNI,2001,30.25,-4.25,8.27,8.31,8.57,8.62,8.87,6.82,5.85,6.03,6.41,5.38,5.42,5.52,7,6.893
ALLSKY_SFC_SW_DNI,2001,30.25,-4.75,8.27,8.31,8.57,8.62,8.87,6.82,5.85,6.03,6.41,5.38,5.42,5.52,7,6.893
ALLSKY_SFC_SW_DNI,2001,30.25,-5.25,8.42,8.42,8.74,9.19,9.59,7.3,5.95,6.24,6.91,5.57,5.66,5.74,7.3,7.128
ALLSKY_SFC_SW_DNI,2001,30.25,-5.75,8.42,8.42,8.74,9.19,9.59,7.3,5.95,6.24,6.91,5.57,5.66,5.74,7.3,7.128
ALLSKY_SFC_SW_DNI,2001,30.25,-6.25,8.54,8.41,8.58,9.19,9.49,7.32,5.82,6.06,7.01,5.44,5.44,5.3,7.21,7.0815
ALLSKY_SFC_SW_DNI,2001,30.25,-6.75,8.54,8.41,8.58,9.19,9.49,7.32,5.82,6.06,7.01,5.44,5.44,5.3,7.21,7.0815
ALLSKY_SFC_SW_DNI,2001,30.25,-7.25,8.08,7.81,8.18,9.2,9.36,7.74,6.13,6.22,7.28,5.16,5.04,4.39,7.04,7.1475
ALLSKY_SFC_SW_DNI,2001,30.25,-7.75,8.08,7.81,8.18,9.2,9.36,7.74,6.13,6.22,7.28,5.16,5.04,4.39,7.04,7.1475
ALLSKY_SFC_SW_DNI,2001,30.75,-3.25,8.24,8.2,8.6,8.53,8.74,6.76,5.76,5.93,6.28,5.35,5.33,5.44,6.92,6.934
ALLSKY_SFC_SW_DNI,2001,30.75,-3.75,8.24,8.2,8.6,8.53,8.74,6.76,5.76,5.93,6.28,5.35,5.33,5.44,6.92,6.934
ALLSKY_SFC_SW_DNI,2001,30.75,-4.25,8.27,8.31,8.57,8.62,8.87,6.82,5.85,6.03,6.41,5.38,5.42,5.52,7,6.893
ALLSKY_SFC_SW_DNI,2001,30.75,-4.75,8.27,8.31,8.57,8.62,8.87,6.82,5.85,6.03,6.41,5.38,5.42,5.52,7,6.893
ALLSKY_SFC_SW_DNI,2001,30.75,-5.25,8.42,8.42,8.74,9.19,9.59,7.3,5.95,6.24,6.91,5.57,5.66,5.74,7.3,7.128
ALLSKY_SFC_SW_DNI,2001,30.75,-5.75,8.42,8.42,8.74,9.19,9.59,7.3,5.95,6.24,6.91,5.57,5.66,5.74,7.3,7.128
ALLSKY_SFC_SW_DNI,2001,30.75,-6.25,8.54,8.41,8.58,9.19,9.49,7.32,5.82,6.06,7.01,5.44,5.44,5.3,7.21,7.0815
ALLSKY_SFC_SW_DNI,2001,30.75,-6.75,8.54,8.41,8.58,9.19,9.49,7.32,5.82,6.06,7.01,5.44,5.44,5.3,7.21,7.0815
ALLSKY_SFC_SW_DNI,2001,30.75,-7.25,8.08,7.81,8.18,9.2,9.36,7.74,6.13,6.22,7.28,5.16,5.04,4.39,7.04,7.1475
ALLSKY_SFC_SW_DNI,2001,30.75,-7.75,8.08,7.81,8.18,9.2,9.36,7.74,6.13,6.22,7.28,5.16,5.04,4.39,7.04,7.1475
ALLSKY_SFC_SW_DNI,2001,31.25,-3.25,7.81,7.83,8.03,7.98,8.22,6.47,5.56,5.54,6.08,5.2,5.15,5.11,6.57,6.7655
ALLSKY_SFC_SW_DNI,2001,31.25,-3.75,7.81,7.83,8.03,7.98,8.22,6.47,5.56,5.54,6.08,5.2,5.15,5.11,6.57,6.7655
ALLSKY_SFC_SW_DNI,2001,31.25,-4.25,7.39,7.59,7.76,7.95,8.02,6.4,5.22,5.53,6,4.91,5,4.8,6.37,6.688
ALLSKY_SFC_SW_DNI,2001,31.25,-4.75,7.39,7.59,7.76,7.95,8.02,6.4,5.22,5.53,6,4.91,5,4.8,6.37,6.688
ALLSKY_SFC_SW_DNI,2001,31.25,-5.25,6.19,6.75,7.35,7.98,8.32,6.65,5.03,5.35,5.91,4.35,4.19,4.15,6.01,6.475
ALLSKY_SFC_SW_DNI,2001,31.25,-5.75,6.19,6.75,7.35,7.98,8.32,6.65,5.03,5.35,5.91,4.35,4.19,4.15,6.01,6.475
ALLSKY_SFC_SW_DNI,2001,31.25,-6.25,5.71,6.86,7.22,7.95,8.39,6.93,5.48,5.58,6.13,4.31,3.9,4.04,6.03,6.3735
ALLSKY_SFC_SW_DNI,2001,31.25,-6.75,5.71,6.86,7.22,7.95,8.39,6.93,5.48,5.58,6.13,4.31,3.9,4.04,6.03,6.3735
ALLSKY_SFC_SW_DNI,2001,31.25,-7.25,6.02,6.71,6.95,7.65,8,7.47,6.04,6.35,6.44,4.51,4.23,4.1,6.2,6.481
ALLSKY_SFC_SW_DNI,2001,31.25,-7.75,6.02,6.71,6.95,7.65,8,7.47,6.04,6.35,6.44,4.51,4.23,4.1,6.2,6.481
